width	height	arkid
250.0	179.0	m36284c0f7-bb84-4bba-9597-d4b42f38e494
185.0	250.0	m3c7146b39-8caf-4191-8347-1d9103796eb7
250.0	205.0	m34e6667aa-bc83-4d63-b4dc-a908ff8336c7
250.0	203.0	m387fdca36-55be-4b8b-8b60-d450f2020765
250.0	212.0	m39ef5b17a-91dc-41c8-97e2-a9681b605e51
250.0	177.0	m317e4b722-1fc4-4342-ac8f-f4d5099a77d8
249.0	188.0	m3be857b3a-0a71-4ee2-a014-f8539a7de910
180.0	250.0	m301ae3638-a2a9-48ce-8050-44a896f315d7
250.0	197.0	m3e0bf1768-d9d6-4776-981c-0b798378ffa2
238.0	250.0	m3fe9d2383-4e85-4c86-bf49-7241b410223a
250.0	248.0	m3699d30fe-acb9-4818-9ec7-3aa0562e21ed
250.0	200.0	m32cc4ad34-3add-4b6d-95af-af5a41ff2f72
250.0	207.0	m3b10a8f2e-91fd-4a0b-bfb8-c3b9c6fc51e0
249.0	186.0	m3872af1c8-4266-4bd4-a1d9-2f9ed270aa26
250.0	238.0	m35bf23356-5d8c-4112-9b37-2895bfa6f6ee
237.0	250.0	m300aebe5e-23f5-4707-bfb8-242af678bc52
233.0	250.0	m38aa21d18-13d2-4f8c-a10c-ceac47f24ed0
186.0	249.0	m3ad22864f-e36d-4964-978b-57ebd3b3a6b7
242.0	250.0	m3ce6105ac-afa8-445b-a30c-19285be488cd
189.0	250.0	m3e45791fb-4b89-470c-b587-3de919de4a24
250.0	189.0	m33bb68429-6ec4-431f-acda-cd547950cf96
250.0	167.0	m3738c403e-842a-478c-9ea9-0580ce2ed9d7
250.0	169.0	m307d59015-2b36-44e4-b1b2-5f8a6f7acaba
249.0	154.0	m34c8c2c0e-a3a5-4c52-8c47-03b8d620832c
250.0	172.0	m3ebb47075-cccc-4ed5-a919-55f7003acc8c
250.0	232.0	m322aa94e5-dbd6-4f05-bc97-36d6fce994f4
250.0	150.0	m34751184a-d47e-4759-aedc-61c0924644be
244.0	250.0	m3c4af9d41-f826-4566-8b8b-833075383e90
241.0	250.0	m39271a1e4-3f0c-42f4-825d-c0378b81e5c3
223.0	250.0	m3d99c67c5-12fc-4019-8c69-34ea5a359648
171.0	249.0	m3a1f028fa-fbf4-4fec-91bd-4dcac0b1eb6e
155.0	250.0	m3db1a8e6c-57b4-4991-ba72-f73f11614b1e
250.0	237.0	m36c2d2cc7-a128-4157-8b1e-4850b6682246
237.0	250.0	m3c8eb400d-1d1f-4c10-a7f2-99ec28794f80
240.0	250.0	m3286bba0c-3cb2-4ffa-ad62-70ffe94eab09
179.0	249.0	m3b38393a2-17cd-40ce-a350-8f93a764b4f0
250.0	137.0	m37220aae8-1833-4993-b511-9442723c0baa
250.0	162.0	m322b73d52-13df-4a9e-8d77-1af757714805
216.0	250.0	m3cf0a89c3-3b09-4b57-83fb-2a086dcd5477
250.0	214.0	m3195aac22-4418-42e0-9d12-c9ffeac7080a
250.0	213.0	m3456dd032-bc4a-4835-8032-657b0b3ae430
245.0	250.0	m38dfa15ab-47c7-400b-ba76-b03dfb38a68a
250.0	195.0	m334926055-765c-4506-90b1-5209ba0c6a42
173.0	250.0	m376aa9571-e878-4aa3-9c3d-cc402f6865a8
250.0	183.0	m33b10090c-8248-42c4-9049-608b46208fb5
244.0	250.0	m3cfefa6e7-4362-41a9-ae29-613e1a5790db
250.0	196.0	m3719fe377-1c92-4107-aa45-71d46558ce1e
179.0	250.0	m35405877b-3f81-4fb7-93e9-065a88985c5c
250.0	217.0	m3a0bf581f-eac4-4bf8-9b90-3a5f74139304
