asset_name	image_arkid
NMNH-17470	http://n2t.net/ark:/65665/m3806e0e42-e629-495c-99d0-83e750a27604
NMNH-17478	http://n2t.net/ark:/65665/m35a2b0a70-7436-4724-8a62-6ddc2a2cb246
NMNH-17523	http://n2t.net/ark:/65665/m367e53afa-f44a-40a5-8199-7a95a93f649a
NMNH-17626	http://n2t.net/ark:/65665/m3e7a41337-4b49-4cb3-a2e9-f3d11f941e51
NMNH-25043	http://n2t.net/ark:/65665/m3f334f19f-7b43-474b-89ec-cbf9506ca30a
NMNH-37851	http://n2t.net/ark:/65665/m38ed1f151-8f38-44cd-9441-8276b86fe5f0
NMNH-72913	http://n2t.net/ark:/65665/m30e69a56c-f1d2-4d9a-9aac-e7af765c9be9
NMNH-114169	http://n2t.net/ark:/65665/m38a2e0082-bec9-483a-99fe-0a412bbb75a6
NMNH-18223	http://n2t.net/ark:/65665/m3991a3ffb-456f-46b1-8ba1-401c50fb388e
NMNH-18922	http://n2t.net/ark:/65665/m3f8663998-b0e7-4473-95e3-afbd83e373c8
NMNH-5373	http://n2t.net/ark:/65665/m3116e3077-10fb-49bc-99ed-28b644b599e9
NMNH-55158	http://n2t.net/ark:/65665/m3fd995a56-9616-4658-8b49-43dfe8539910
NMNH-80851	http://n2t.net/ark:/65665/m372826989-5686-480e-a027-ec35d1c39011
NMNH-82605	http://n2t.net/ark:/65665/m3668ff83e-f3cc-45b4-8c44-62956c984d9e
NMNH-87687	http://n2t.net/ark:/65665/m3aa2046fd-0f96-445c-be30-a8b56be604b5
NMNH-88198-000001	http://n2t.net/ark:/65665/m36ac6e4b6-f064-4162-857f-f3b16e9d91d7
NMNH-88307	http://n2t.net/ark:/65665/m34006430c-6f87-4d52-8e18-4f452279b5e4
NMNH-90648	http://n2t.net/ark:/65665/m381787300-1e7f-4917-9602-ef6a549eb952
NMNH-90650-000001	http://n2t.net/ark:/65665/m38ebab448-60d7-49be-a877-313ddee73059
NMNH-90893	http://n2t.net/ark:/65665/m342ab9434-471f-49e1-8c8f-e22b81cd9f53
NMNH-97868	http://n2t.net/ark:/65665/m3751cd7da-2b0d-4313-addb-3942b4122842
NMNH-88192c	http://n2t.net/ark:/65665/m36a0a59da-7143-4215-aa1a-6e34f9caea01
NMNH-17348	http://n2t.net/ark:/65665/m3d536fbf9-4017-4f5a-aa31-03d9eda97318
NMNH-17353	http://n2t.net/ark:/65665/m3a62d5505-542a-4ce6-87ff-21a47a49857c
NMNH-114157	http://n2t.net/ark:/65665/m3bdc38130-302c-46b7-92ab-088129758a6c
NMNH-114158	http://n2t.net/ark:/65665/m31cbf19e2-201d-4742-9a81-900531ecb408
NMNH-114159	http://n2t.net/ark:/65665/m358652aa3-c7c5-4cf4-9136-bca06525bd12
NMNH-37600	http://n2t.net/ark:/65665/m376f9eeb4-8739-46d2-859f-114520b6b253
NMNH-75761	http://n2t.net/ark:/65665/m30483e09a-5225-4d81-8bb8-02dd955b221d
NMNH-114106	http://n2t.net/ark:/65665/m34764c4a3-ac29-42ad-83cb-e68dfba903b2
NMNH-114120	http://n2t.net/ark:/65665/m36ac7c461-3eba-4d71-95c8-e79abe3eaa0e
NMNH-88294	http://n2t.net/ark:/65665/m3af5349df-715d-4666-bd0f-37829d99dffb
NMNH-67476-000001	http://n2t.net/ark:/65665/m38be8c2bf-b0eb-4e72-bab7-ddb19826d52a
NMNH-114164	http://n2t.net/ark:/65665/m3db6016ba-f729-45ee-b1d1-c66706afed88
NMNH-27055	http://n2t.net/ark:/65665/m3cb894c0b-1631-43e2-bda7-28f4fb2e8019
NMNH-63825	http://n2t.net/ark:/65665/m3f27d23b7-c7ae-492a-8746-99fbc72e771b
NMNH-114134	http://n2t.net/ark:/65665/m3f9b72e7d-918f-43aa-b5ff-05d053fc46e1
NMNH-114141	http://n2t.net/ark:/65665/m3ff0a7c57-72cd-4ab4-9d8b-03bb2f27c0bd
NMNH-36848	http://n2t.net/ark:/65665/m3836ee9cb-b6f2-44c3-a62b-35a9ac18f284
