width	height	arkid
250.0	222.0	m30d3588f7-3634-4643-a58e-3865e757de74
250.0	212.0	m3bcab4b7d-4228-4cda-b2ea-5f6828ada51c
250.0	226.0	m35f8cc99f-567e-4302-bbe2-a06c191c12c4
250.0	218.0	m34dd6b1f3-9314-4b27-b5df-5e6323a4191b
250.0	196.0	m3998745e7-c11f-4994-a61e-94288f2ef989
250.0	205.0	m31a315137-009e-4412-805b-18506b26abf6
250.0	191.0	m381998995-b4ba-4bb2-8d91-db3aa0dbbd5c
250.0	183.0	m3ce38ae6a-3f1d-42a3-9d3e-164848de99fe
250.0	215.0	m349930428-88b0-48b4-b5e0-497f7b653641
250.0	217.0	m37e66bfbd-adc8-455a-9f50-79ffc6cedf23
250.0	216.0	m32068b347-e2d8-4096-a094-00e460d52f05
250.0	217.0	m335d54448-d8a8-497c-b652-5186d74f7e63
249.0	211.0	m31e41e918-6e2d-43aa-8f42-a0e8919826ca
250.0	148.0	m390d496ef-d607-4c69-9f60-2281d591028f
250.0	233.0	m3b290c418-f5ed-40d8-8915-69e11ff81566
188.0	250.0	m3bd5bd89c-c9fd-42e0-a1c9-ccabb1757e7e
240.0	250.0	m3f230b457-a171-4069-ba6e-c2f04815924f
250.0	172.0	m3a4f7d4ac-4abf-47df-84da-cc82d122e44f
250.0	167.0	m3e63edf3f-796f-4255-9872-6a8aff78790c
250.0	167.0	m3a687bfda-6932-4ab3-a9e8-9d6528ba3db1
250.0	167.0	m372b48f72-3654-4465-98e7-d7c003ea0fdc
188.0	250.0	m358d20d9c-bfc3-42ec-8b09-1e17bfac9272
250.0	143.0	m3fff8c0fb-c17b-4996-a6a3-256baca468e8
250.0	167.0	m3edab8225-0152-4b69-9e78-ba09d4e16606
250.0	143.0	m3a0e2ea77-2dcb-4945-9bef-529f00e37ceb
250.0	144.0	m388b3a78b-ea58-4bc5-88a3-6228623beadc
249.0	114.0	m342cf89e9-7db8-4950-a711-df6f9f45b10b
250.0	163.0	m30710c5fb-117a-4c9b-ad76-27e0e66d3491
250.0	133.0	m3eddbd88e-7d68-4453-87c9-1cf9a9ecc9a2
250.0	183.0	m3f1e69e1b-7897-4c40-8d02-6ac1c9fc83af
188.0	250.0	m380591964-cb7c-4f20-88fd-7e2f5cb23fdd
250.0	161.0	m3472d62f4-f83a-4f74-9ab5-f141b26df316
250.0	162.0	m330bd1e66-36bd-45aa-a441-7dbb601d778b
188.0	250.0	m3d49da57c-92a4-40b2-ae4a-05e47324011f
188.0	250.0	m390dcf3b3-6a9c-4b48-8535-4b9de491817d
188.0	250.0	m3919fafd9-858a-4d00-9759-6e0f99cfcdf4
188.0	250.0	m35be34d24-7f70-4ba7-b06b-2501ab701b15
249.0	159.0	m3d988b61d-4551-4afb-9287-e222ba9aafab
250.0	163.0	m37b595ced-47e9-4a47-9dd6-760f65f37d8b
179.0	249.0	m3c4d11c48-d95d-49b2-957d-e470fb8859f2
250.0	188.0	m3d0b9d706-3921-4800-9baa-d61c33816b92
250.0	170.0	m3d0267b4b-dafb-48a7-bc91-c867dad38b81
250.0	199.0	m3f221446c-c043-4d35-8a5f-6743b073ba40
249.0	145.0	m35a6a732b-ca5c-495c-b99a-6ae1d0dc13c3
250.0	119.0	m3dbc36f17-57ff-4c4f-81ba-ae746a40b206
234.0	250.0	m392b453c4-c907-4481-8290-2680d57b8263
249.0	159.0	m3a2da7c27-8a2c-4b32-b9e3-282a5929c5aa
250.0	163.0	m395393e7d-97d0-4798-bc8f-7ed110038c4b
188.0	250.0	m3a6ab884f-67ff-40e9-8bb7-9ca1406b49ed
250.0	129.0	m3d5ec85a7-351e-4a96-a741-5e446d831863
250.0	188.0	m3561114bd-01d5-4546-beae-bc00bdd0e4a5
250.0	188.0	m38f14a331-0652-4dfb-8cd7-c870f159721b
250.0	188.0	m3a63fbe7d-c378-4706-9418-97177bf9fefc
250.0	188.0	m380bee329-dce9-4a2f-a3bd-55db61ec98aa
250.0	188.0	m354f26753-31bb-4176-a732-02ea4286bf89
250.0	188.0	m360e354b2-5d32-4c41-acab-527c7c007649
188.0	250.0	m337660286-26a0-4ea0-9d8d-b7a9a44d60b4
249.0	187.0	m32c21b284-7b8e-4bbb-a0d7-19f62c627f96
249.0	187.0	m3d9c0695b-b736-4926-9dc3-af0f302be84e
249.0	187.0	m34feeba93-4c33-4065-a72b-a3ae55ab73fb
249.0	187.0	m32f6938d4-ed2d-4dcf-b0e2-946783b0ab20
249.0	187.0	m3e89511f5-6b61-47a7-bae5-9ee83e740430
249.0	187.0	m37638c360-28e9-4df7-8098-818c35605935
249.0	187.0	m3e38c8a89-96fd-4b54-b1c4-e8bcbf694afa
249.0	187.0	m31c60a297-0d13-4283-8328-19789de28f8e
249.0	187.0	m3167c10d5-5179-4a6c-b572-07c78f475df0
249.0	187.0	m356976328-8034-431f-9344-a7bfd240f674
249.0	187.0	m3747ecd94-beea-4aa2-9c35-0c30bc156958
249.0	187.0	m3613a0314-61ee-4317-a618-b4f4cc2e71cc
249.0	187.0	m3a1f89ed3-a3dc-4315-8c50-da27dc62df14
249.0	187.0	m3438c72d5-9929-44c1-9ae9-70e2b714eaa0
249.0	187.0	m343972d19-8921-44a5-95cf-968d9841cab4
249.0	187.0	m376cee9c2-b81f-41b9-a0e1-5326129a8d3f
249.0	187.0	m34a2a9db5-5413-4b3c-8392-dcfbc874b2ff
249.0	187.0	m39c42ed4e-4550-4671-baf1-766f4aea4316
201.0	250.0	m3f5abcd19-2c5f-4863-b02f-10880ff995bd
157.0	250.0	m306fc6db9-c1d2-44c6-975f-b8f445155298
193.0	250.0	m3465bcaef-248a-4c7c-a7fb-1d63542cd680
250.0	188.0	m38d41c582-cf1f-4412-9848-4d9050713577
250.0	188.0	m390b02e90-6457-49a3-817f-9865e6cf5368
249.0	187.0	m36d6e43c6-fcf7-4eba-85a8-819b7545885a
249.0	187.0	m340569e5d-c16f-4a01-8d76-da69bc348173
249.0	187.0	m3abf59a6a-322f-44d8-ab51-8c5cb20fef3a
250.0	188.0	m3842922cf-26c9-44b1-bd05-5cb78c0d45c7
250.0	188.0	m3ee9b8f37-b70c-4e05-b34e-f396a0bc5ba7
250.0	188.0	m3b35aa43c-19e1-4178-966f-d7b5733bfdd3
250.0	188.0	m32ea85d17-b628-4348-88fc-e1fd267c5835
250.0	188.0	m3c93cf7a6-a4c5-4607-8cb5-4a95ecc4ef41
250.0	188.0	m31d2d07ea-5194-48ff-9e0f-6c01d09e82d5
250.0	188.0	m354a9d6d9-b2f2-43a6-918e-6fcef05735fc
249.0	187.0	m3dae7f7f0-ab8b-44ba-8815-6268111e4d90
249.0	187.0	m3138f251f-b2e4-4aed-9b1e-8a4f5340918f
249.0	187.0	m37d1a7f86-a8a4-4746-a7b8-a2384249c748
249.0	187.0	m3ddd04bae-17c1-4e27-ae3b-b858097be62d
249.0	187.0	m3c81ac307-bf84-49d5-9648-d99c19a2468c
250.0	200.0	m3be99cd44-f0de-4ebe-b979-94f83dea5e98
250.0	200.0	m3743e9fd3-f256-4f79-9460-474e696d32c9
250.0	200.0	m3164fcec8-2391-4e2a-bff7-3a007fa149d4
249.0	187.0	m30991a642-a69e-4217-800d-63240e5fd8ed
249.0	187.0	m30a11abb4-f213-4c51-aeef-6c15e7d20e8f
249.0	187.0	m35e77afb1-89f6-459f-a177-f69312e98e29
