asset_name	image_arkid
NMNH-1418217	http://n2t.net/ark:/65665/m301fe4061-01de-48c9-9889-75764426fc05
NMNH-1418219	http://n2t.net/ark:/65665/m34780ad72-971a-44a6-b520-bf6b8362cfa2
NMNH-1418227	http://n2t.net/ark:/65665/m3067780a9-0f22-420b-b148-c2d47e4142cb
NMNH-1418233	http://n2t.net/ark:/65665/m3d7abc115-020d-4dfe-8d8c-5d942aece0a8
NMNH-1418237	http://n2t.net/ark:/65665/m38971b727-344b-4c61-ba81-7ead9353031e
NMNH-1418241	http://n2t.net/ark:/65665/m3a231d1d7-cb91-41ff-8a38-c02fcbc90880
NMNH-1418242	http://n2t.net/ark:/65665/m3d30069d3-3480-4d72-bc5c-a5b51d3be3c3
NMNH-1418243	http://n2t.net/ark:/65665/m31c4dc792-d8c1-4d71-9863-e31a06e70785
NMNH-1418244	http://n2t.net/ark:/65665/m3e00c722b-b528-4e2a-b26b-048e069a005b
NMNH-1418245	http://n2t.net/ark:/65665/m32bf48734-8cfb-47e7-b32d-11cdc0a0c9f6
NMNH-1418246	http://n2t.net/ark:/65665/m3523a279b-54ba-4e26-be08-30cba605fed9
NMNH-1418247	http://n2t.net/ark:/65665/m331a46e49-57eb-48e8-b044-f603b1c8f537
NMNH-1418251	http://n2t.net/ark:/65665/m30ee89d40-5cbe-4599-aec5-a64f3ba9c0a8
NMNH-1418254	http://n2t.net/ark:/65665/m3692d900f-e242-4e29-97df-5a860e665ee5
NMNH-1418257	http://n2t.net/ark:/65665/m3bedae681-8413-4ccc-b2a1-2a671ed16525
NMNH-1418258	http://n2t.net/ark:/65665/m38814b276-b33e-4401-85e8-5d77edeab4c6
NMNH-1418260	http://n2t.net/ark:/65665/m36e5a3965-dc20-4de1-a69c-90bf404de6ee
NMNH-1420441	http://n2t.net/ark:/65665/m3b443f6ca-9333-4b32-a2da-fd74ed06ecfa
NMNH-1420442	http://n2t.net/ark:/65665/m3041dde68-10a7-4d2f-9389-ba9ae101ac53
NMNH-1420443	http://n2t.net/ark:/65665/m314686120-0a76-4ecc-a890-a1467a7b0a5a
NMNH-1420444	http://n2t.net/ark:/65665/m371eef429-7006-4eda-9f08-76c57c70b3b3
NMNH-1420445	http://n2t.net/ark:/65665/m340779a70-c668-4235-b4b1-97b7bc5b39eb
NMNH-1420446	http://n2t.net/ark:/65665/m344aed965-32ae-4c4d-82f6-c78f4677930b
NMNH-1420449	http://n2t.net/ark:/65665/m3c221bb79-c3d9-4f70-97c6-af10952ae897
NMNH-1420450	http://n2t.net/ark:/65665/m3ac18bac9-cf86-4123-b423-90eee66fcc3f
NMNH-1420452	http://n2t.net/ark:/65665/m3460de45a-07b9-4a66-8b9c-06a6546dcb0e
NMNH-1420485	http://n2t.net/ark:/65665/m378edb735-b893-4083-8008-17f3e5e9255a
NMNH-1420486	http://n2t.net/ark:/65665/m3e272fbce-e4c5-4245-992e-1491618a585d
NMNH-1420487	http://n2t.net/ark:/65665/m3c46ab776-5a41-49c8-a857-bdbdaa318bd9
NMNH-1420488	http://n2t.net/ark:/65665/m3ae71c266-abfc-47c1-87cd-de24a35475ad
NMNH-1420489	http://n2t.net/ark:/65665/m30f3bbeb3-6ea6-4072-89f4-5f1fb8fd435b
NMNH-1420490	http://n2t.net/ark:/65665/m3c1fd1e7f-9fa5-41dd-bd6b-1f41c2cae82d
NMNH-1420491	http://n2t.net/ark:/65665/m3ddf7ffaa-9d7a-47e1-a20b-774fddb12535
NMNH-1420500	http://n2t.net/ark:/65665/m3be1ce8e3-4296-4575-8c9c-3ee0f3db713a
NMNH-1420509	http://n2t.net/ark:/65665/m373ca29e0-cec2-4249-b346-82715763a650
NMNH-1420510	http://n2t.net/ark:/65665/m30d3588f7-3634-4643-a58e-3865e757de74
NMNH-1420511-000001	http://n2t.net/ark:/65665/m3bcab4b7d-4228-4cda-b2ea-5f6828ada51c
NMNH-1420512	http://n2t.net/ark:/65665/m35f8cc99f-567e-4302-bbe2-a06c191c12c4
NMNH-1420513	http://n2t.net/ark:/65665/m34dd6b1f3-9314-4b27-b5df-5e6323a4191b
NMNH-1420514	http://n2t.net/ark:/65665/m3998745e7-c11f-4994-a61e-94288f2ef989
NMNH-1420515	http://n2t.net/ark:/65665/m31a315137-009e-4412-805b-18506b26abf6
NMNH-1420516	http://n2t.net/ark:/65665/m381998995-b4ba-4bb2-8d91-db3aa0dbbd5c
NMNH-1420517	http://n2t.net/ark:/65665/m3ce38ae6a-3f1d-42a3-9d3e-164848de99fe
NMNH-1420518	http://n2t.net/ark:/65665/m349930428-88b0-48b4-b5e0-497f7b653641
NMNH-1420523	http://n2t.net/ark:/65665/m37e66bfbd-adc8-455a-9f50-79ffc6cedf23
NMNH-1420524	http://n2t.net/ark:/65665/m32068b347-e2d8-4096-a094-00e460d52f05
NMNH-1420525	http://n2t.net/ark:/65665/m335d54448-d8a8-497c-b652-5186d74f7e63
NMNH-1420526	http://n2t.net/ark:/65665/m31e41e918-6e2d-43aa-8f42-a0e8919826ca
NMNH-1423297	http://n2t.net/ark:/65665/m390d496ef-d607-4c69-9f60-2281d591028f
NMNH-1436354	http://n2t.net/ark:/65665/m3b290c418-f5ed-40d8-8915-69e11ff81566
NMNH-1438741Parazoanthidaesp.	http://n2t.net/ark:/65665/m3bd5bd89c-c9fd-42e0-a1c9-ccabb1757e7e
NMNH-1442544	http://n2t.net/ark:/65665/m3f230b457-a171-4069-ba6e-c2f04815924f
NMNH-1448957_prosobranch_velliger_MB-1	http://n2t.net/ark:/65665/m3a4f7d4ac-4abf-47df-84da-cc82d122e44f
NMNH-1449476_Thliptodontidae_IMG_1049	http://n2t.net/ark:/65665/m3e63edf3f-796f-4255-9872-6a8aff78790c
NMNH-1449478_Thliptodontidae_IMG_1065	http://n2t.net/ark:/65665/m3a687bfda-6932-4ab3-a9e8-9d6528ba3db1
NMNH-1450923_Macrotritopus_IMG_0018	http://n2t.net/ark:/65665/m372b48f72-3654-4465-98e7-d7c003ea0fdc
NMNH-1501825	http://n2t.net/ark:/65665/m358d20d9c-bfc3-42ec-8b09-1e17bfac9272
NMNH-1503012	http://n2t.net/ark:/65665/m3fff8c0fb-c17b-4996-a6a3-256baca468e8
NMNH-1524194_Remipedia-2	http://n2t.net/ark:/65665/m3edab8225-0152-4b69-9e78-ba09d4e16606
NMNH-1552792	http://n2t.net/ark:/65665/m3a0e2ea77-2dcb-4945-9bef-529f00e37ceb
